hour,mean_kW,std_kW,p5_kW,p25_kW,p50_kW,p75_kW,p95_kW,min_kW,max_kW
0,5757.80,349.48,5095.60,5549.46,5789.19,6000.62,6256.10,4895.64,6533.56
1,5160.14,315.15,4681.95,4954.82,5182.07,5380.78,5632.41,4317.86,5897.50
2,4599.19,321.96,4101.09,4340.18,4626.89,4808.86,5132.74,3938.66,5244.97
3,4339.03,291.47,3926.06,4075.58,4373.36,4545.20,4828.14,3691.42,5100.81
4,4336.01,352.03,3784.97,4130.30,4311.04,4534.57,4851.40,3487.75,5790.45
5,4596.52,360.70,4023.64,4345.64,4615.90,4790.85,5176.41,3807.59,5517.56
6,4758.10,374.24,4080.66,4483.59,4782.24,5036.25,5346.86,3882.11,5534.37
7,5020.57,377.34,4353.77,4778.73,5007.78,5291.61,5638.25,4222.93,5969.47
8,5332.84,366.57,4732.51,5116.51,5324.56,5546.82,5958.55,4460.43,6259.57
9,5543.84,418.49,4880.43,5332.51,5523.12,5833.05,6249.46,4486.35,6439.23
10,5634.95,383.10,5073.65,5390.42,5684.89,5874.74,6210.26,4528.13,6324.42
11,5628.06,347.48,5076.43,5341.69,5619.08,5876.15,6242.11,4785.31,6374.60
12,5591.12,413.36,4829.18,5327.49,5589.29,5858.36,6223.79,4622.59,6690.98
13,5511.32,359.91,4756.11,5343.63,5499.40,5725.42,6126.24,4570.21,6340.61
14,5348.51,402.61,4736.09,5083.23,5355.24,5614.12,5999.21,4165.98,6246.72
15,5304.86,383.06,4712.81,5042.96,5304.51,5594.04,5823.23,4122.20,6278.26
16,5202.54,353.10,4740.35,4920.17,5167.14,5425.82,5836.68,4436.49,6151.11
17,5147.10,376.01,4598.04,4863.81,5130.52,5382.45,5767.16,4362.48,6274.29
18,5034.54,320.53,4523.37,4832.24,5044.68,5221.20,5541.35,4126.96,5874.16
19,4978.36,313.19,4451.78,4766.51,5026.11,5192.27,5427.63,4244.02,5657.97
20,4874.39,351.41,4326.23,4657.17,4881.54,5084.32,5495.49,4135.94,5682.36
21,4678.76,320.78,4186.68,4478.90,4667.95,4881.60,5263.02,3957.58,5473.53
22,4541.35,320.51,3963.32,4355.93,4542.40,4728.82,5062.84,3816.44,5243.54
23,4715.09,363.34,4121.34,4483.61,4730.20,4971.62,5351.75,3746.33,5507.05
