hour,mean,std,p5,p25,p50,p75,p95
0,0.047368,0.002736,0.042993,0.045712,0.047334,0.048895,0.051769
1,0.042435,0.002160,0.038168,0.041378,0.042715,0.043796,0.045501
2,0.037806,0.002049,0.034730,0.036174,0.037757,0.039326,0.041050
3,0.035691,0.002205,0.031896,0.034029,0.035891,0.037201,0.039144
4,0.035638,0.002321,0.032293,0.034112,0.035769,0.036921,0.039583
5,0.037786,0.002455,0.033769,0.036163,0.037753,0.039026,0.041741
6,0.039117,0.002630,0.035428,0.037190,0.039211,0.040781,0.043102
7,0.041276,0.002592,0.037337,0.039318,0.041314,0.043126,0.045860
8,0.043840,0.002375,0.040297,0.042190,0.043429,0.045703,0.047564
9,0.045565,0.002710,0.041256,0.043754,0.045311,0.047034,0.050237
10,0.046324,0.002487,0.041813,0.044497,0.046497,0.047828,0.050164
11,0.046276,0.002256,0.042822,0.044497,0.046061,0.047940,0.050033
12,0.045959,0.002707,0.041851,0.044112,0.045789,0.048073,0.050133
13,0.045307,0.002265,0.041423,0.043786,0.045342,0.047379,0.048753
14,0.043949,0.002429,0.040499,0.042132,0.043699,0.045672,0.047788
15,0.043610,0.002539,0.039556,0.041819,0.043593,0.045486,0.047509
16,0.042773,0.002305,0.039428,0.041176,0.042540,0.043867,0.047379
17,0.042307,0.002378,0.038813,0.040799,0.041918,0.043952,0.046106
18,0.041390,0.002011,0.037978,0.040080,0.041336,0.042647,0.044754
19,0.040935,0.002081,0.037520,0.039553,0.041130,0.042279,0.044576
20,0.040066,0.002218,0.036460,0.038746,0.040032,0.041694,0.043519
21,0.038486,0.002435,0.034543,0.036719,0.038715,0.039878,0.042414
22,0.037348,0.002350,0.033644,0.035686,0.037245,0.039164,0.040619
23,0.038748,0.002290,0.034492,0.037527,0.038896,0.040266,0.041937
