hour,mean,std,p5,p25,p50,p75,p95,mean_MW,std_MW,p5_MW,p25_MW,p50_MW,p75_MW,p95_MW
0,0.0474,0.0027,0.0430,0.0457,0.0473,0.0489,0.0518,6.7039,0.3873,6.0847,6.4696,6.6991,6.9200,7.3269
1,0.0424,0.0022,0.0382,0.0414,0.0427,0.0438,0.0455,6.0058,0.3056,5.4019,5.8562,6.0455,6.1984,6.4397
2,0.0378,0.0020,0.0347,0.0362,0.0378,0.0393,0.0411,5.3507,0.2900,4.9153,5.1196,5.3437,5.5658,5.8098
3,0.0357,0.0022,0.0319,0.0340,0.0359,0.0372,0.0391,5.0513,0.3120,4.5143,4.8161,5.0796,5.2651,5.5399
4,0.0356,0.0023,0.0323,0.0341,0.0358,0.0369,0.0396,5.0438,0.3284,4.5703,4.8279,5.0624,5.2254,5.6022
5,0.0378,0.0025,0.0338,0.0362,0.0378,0.0390,0.0417,5.3478,0.3475,4.7793,5.1181,5.3432,5.5233,5.9075
6,0.0391,0.0026,0.0354,0.0372,0.0392,0.0408,0.0431,5.5362,0.3722,5.0141,5.2635,5.5495,5.7716,6.1001
7,0.0413,0.0026,0.0373,0.0393,0.0413,0.0431,0.0459,5.8417,0.3668,5.2842,5.5646,5.8471,6.1036,6.4905
8,0.0438,0.0024,0.0403,0.0422,0.0434,0.0457,0.0476,6.2047,0.3362,5.7032,5.9712,6.1464,6.4684,6.7317
9,0.0456,0.0027,0.0413,0.0438,0.0453,0.0470,0.0502,6.4488,0.3836,5.8389,6.1924,6.4129,6.6567,7.1100
10,0.0463,0.0025,0.0418,0.0445,0.0465,0.0478,0.0502,6.5562,0.3520,5.9178,6.2977,6.5807,6.7691,7.0997
11,0.0463,0.0023,0.0428,0.0445,0.0461,0.0479,0.0500,6.5494,0.3193,6.0605,6.2977,6.5190,6.7849,7.0811
12,0.0460,0.0027,0.0419,0.0441,0.0458,0.0481,0.0501,6.5046,0.3831,5.9232,6.2431,6.4804,6.8037,7.0953
13,0.0453,0.0023,0.0414,0.0438,0.0453,0.0474,0.0488,6.4123,0.3205,5.8625,6.1970,6.4172,6.7055,6.9000
14,0.0439,0.0024,0.0405,0.0421,0.0437,0.0457,0.0478,6.2201,0.3437,5.7317,5.9629,6.1846,6.4638,6.7634
15,0.0436,0.0025,0.0396,0.0418,0.0436,0.0455,0.0475,6.1720,0.3594,5.5984,5.9186,6.1696,6.4376,6.7239
16,0.0428,0.0023,0.0394,0.0412,0.0425,0.0439,0.0474,6.0536,0.3262,5.5801,5.8276,6.0206,6.2085,6.7054
17,0.0423,0.0024,0.0388,0.0408,0.0419,0.0440,0.0461,5.9877,0.3366,5.4932,5.7742,5.9326,6.2205,6.5254
18,0.0414,0.0020,0.0380,0.0401,0.0413,0.0426,0.0448,5.8578,0.2846,5.3749,5.6725,5.8503,6.0357,6.3340
19,0.0409,0.0021,0.0375,0.0396,0.0411,0.0423,0.0446,5.7935,0.2946,5.3101,5.5979,5.8211,5.9837,6.3087
20,0.0401,0.0022,0.0365,0.0387,0.0400,0.0417,0.0435,5.6704,0.3139,5.1601,5.4837,5.6656,5.9009,6.1592
21,0.0385,0.0024,0.0345,0.0367,0.0387,0.0399,0.0424,5.4469,0.3447,4.8889,5.1968,5.4793,5.6438,6.0028
22,0.0373,0.0023,0.0336,0.0357,0.0372,0.0392,0.0406,5.2858,0.3325,4.7617,5.0506,5.2712,5.5428,5.7488
23,0.0387,0.0023,0.0345,0.0375,0.0389,0.0403,0.0419,5.4840,0.3240,4.8816,5.3111,5.5049,5.6989,5.9352
