hour,mean,std,p5,p25,p50,p75,p95
0,0.009340,0.003085,0.005154,0.006884,0.008932,0.011819,0.014246
1,0.012278,0.003766,0.006797,0.009799,0.011610,0.014956,0.020040
2,0.027074,0.004770,0.019259,0.024024,0.028094,0.030684,0.034104
3,0.038911,0.005648,0.032069,0.034822,0.037725,0.042845,0.049662
4,0.044315,0.006162,0.037148,0.039975,0.042811,0.048302,0.055311
5,0.056923,0.005078,0.049077,0.054123,0.056986,0.060189,0.064498
6,0.064333,0.005309,0.057033,0.060442,0.064020,0.067666,0.073427
7,0.066279,0.007747,0.057169,0.060904,0.063351,0.070990,0.079643
8,0.066437,0.005128,0.058266,0.063301,0.067017,0.069905,0.074767
9,0.064699,0.005703,0.054760,0.061141,0.065426,0.068084,0.073503
10,0.062864,0.005240,0.053884,0.059931,0.063925,0.066172,0.069021
11,0.059806,0.004041,0.053561,0.057445,0.059708,0.062095,0.066912
12,0.056320,0.004631,0.048818,0.052843,0.057089,0.059703,0.062616
13,0.054885,0.004802,0.047150,0.051277,0.054980,0.058172,0.062645
14,0.052203,0.005115,0.043480,0.049727,0.052421,0.055308,0.058960
15,0.049014,0.004633,0.041604,0.046142,0.048973,0.051945,0.056808
16,0.044843,0.004564,0.038375,0.041636,0.044911,0.047851,0.051765
17,0.040935,0.004733,0.032884,0.037897,0.041151,0.044117,0.047817
18,0.036061,0.003717,0.030292,0.033764,0.035891,0.038386,0.042225
19,0.029739,0.003743,0.023446,0.027655,0.029498,0.031813,0.035225
20,0.023072,0.003378,0.018155,0.020859,0.022417,0.025523,0.028986
21,0.017092,0.003067,0.011990,0.015047,0.017289,0.018995,0.022053
22,0.012658,0.002332,0.008698,0.011277,0.012571,0.014106,0.016217
23,0.009921,0.002132,0.006979,0.008436,0.009588,0.011065,0.014002
