hour,mean,std,p5,p25,p50,p75,p95,mean_MW,std_MW,p5_MW,p25_MW,p50_MW,p75_MW,p95_MW
0,0.0093,0.0031,0.0052,0.0069,0.0089,0.0118,0.0142,11.9903,3.9610,6.6171,8.8378,11.4667,15.1736,18.2888
1,0.0123,0.0038,0.0068,0.0098,0.0116,0.0150,0.0200,15.7628,4.8348,8.7257,12.5795,14.9048,19.2002,25.7277
2,0.0271,0.0048,0.0193,0.0240,0.0281,0.0307,0.0341,34.7576,6.1235,24.7247,30.8417,36.0667,39.3925,43.7823
3,0.0389,0.0056,0.0321,0.0348,0.0377,0.0428,0.0497,49.9534,7.2504,41.1696,44.7046,48.4316,55.0039,63.7561
4,0.0443,0.0062,0.0371,0.0400,0.0428,0.0483,0.0553,56.8915,7.9111,47.6901,51.3196,54.9603,62.0103,71.0074
5,0.0569,0.0051,0.0491,0.0541,0.0570,0.0602,0.0645,73.0779,6.5191,63.0043,69.4827,73.1585,77.2705,82.8023
6,0.0643,0.0053,0.0570,0.0604,0.0640,0.0677,0.0734,82.5897,6.8151,73.2184,77.5954,82.1885,86.8694,94.2654
7,0.0663,0.0077,0.0572,0.0609,0.0634,0.0710,0.0796,85.0884,9.9452,73.3932,78.1883,81.3291,91.1364,102.2449
8,0.0664,0.0051,0.0583,0.0633,0.0670,0.0699,0.0748,85.2916,6.5832,74.8015,81.2651,86.0359,89.7439,95.9857
9,0.0647,0.0057,0.0548,0.0611,0.0654,0.0681,0.0735,83.0601,7.3220,70.3002,78.4926,83.9937,87.4061,94.3633
10,0.0629,0.0052,0.0539,0.0599,0.0639,0.0662,0.0690,80.7038,6.7266,69.1760,76.9393,82.0669,84.9509,88.6092
11,0.0598,0.0040,0.0536,0.0574,0.0597,0.0621,0.0669,76.7786,5.1878,68.7609,73.7469,76.6531,79.7174,85.9015
12,0.0563,0.0046,0.0488,0.0528,0.0571,0.0597,0.0626,72.3034,5.9447,62.6717,67.8399,73.2910,76.6458,80.3856
13,0.0549,0.0048,0.0471,0.0513,0.0550,0.0582,0.0626,70.4608,6.1645,60.5302,65.8287,70.5830,74.6813,80.4233
14,0.0522,0.0051,0.0435,0.0497,0.0524,0.0553,0.0590,67.0174,6.5670,55.8196,63.8397,67.2982,71.0039,75.6927
15,0.0490,0.0046,0.0416,0.0461,0.0490,0.0519,0.0568,62.9239,5.9475,53.4109,59.2371,62.8718,66.6867,72.9295
16,0.0448,0.0046,0.0384,0.0416,0.0449,0.0479,0.0518,57.5688,5.8592,49.2655,53.4515,57.6566,61.4309,66.4560
17,0.0409,0.0047,0.0329,0.0379,0.0412,0.0441,0.0478,52.5516,6.0759,42.2161,48.6515,52.8289,56.6376,61.3867
18,0.0361,0.0037,0.0303,0.0338,0.0359,0.0384,0.0422,46.2955,4.7716,38.8889,43.3461,46.0772,49.2791,54.2076
19,0.0297,0.0037,0.0234,0.0277,0.0295,0.0318,0.0352,38.1781,4.8047,30.0993,35.5027,37.8690,40.8414,45.2218
20,0.0231,0.0034,0.0182,0.0209,0.0224,0.0255,0.0290,29.6190,4.3366,23.3070,26.7792,28.7786,32.7662,37.2118
21,0.0171,0.0031,0.0120,0.0150,0.0173,0.0190,0.0221,21.9424,3.9373,15.3921,19.3178,22.1952,24.3851,28.3121
22,0.0127,0.0023,0.0087,0.0113,0.0126,0.0141,0.0162,16.2500,2.9944,11.1670,14.4779,16.1386,18.1097,20.8195
23,0.0099,0.0021,0.0070,0.0084,0.0096,0.0111,0.0140,12.7362,2.7377,8.9598,10.8296,12.3084,14.2052,17.9757
