hour,mean,std,p5,p25,p50,p75,p95,mean_MW,std_MW,p5_MW,p25_MW,p50_MW,p75_MW,p95_MW
0,0.0087,0.0014,0.0068,0.0078,0.0086,0.0094,0.0107,11.0760,1.8015,8.6547,9.9264,10.8849,11.8682,13.5766
1,0.0117,0.0018,0.0090,0.0103,0.0114,0.0130,0.0145,14.7868,2.2558,11.4405,13.0127,14.5124,16.4978,18.4396
2,0.0267,0.0060,0.0173,0.0216,0.0284,0.0316,0.0343,33.9239,7.6495,21.8935,27.3640,36.0022,40.1060,43.5586
3,0.0389,0.0032,0.0339,0.0364,0.0390,0.0407,0.0443,49.3790,4.0649,42.9652,46.1822,49.4367,51.6813,56.2317
4,0.0453,0.0041,0.0398,0.0423,0.0442,0.0481,0.0518,57.4981,5.1686,50.5517,53.6602,56.1323,61.0165,65.7542
5,0.0577,0.0038,0.0513,0.0552,0.0582,0.0600,0.0643,73.2809,4.8570,65.1044,70.0788,73.8380,76.1096,81.5770
6,0.0657,0.0041,0.0597,0.0623,0.0654,0.0684,0.0729,83.3978,5.1816,75.7419,79.0480,82.9469,86.8283,92.4542
7,0.0662,0.0055,0.0584,0.0623,0.0651,0.0700,0.0753,83.9974,6.9878,74.1529,79.0665,82.5788,88.7700,95.5479
8,0.0674,0.0044,0.0601,0.0645,0.0668,0.0702,0.0743,85.5836,5.6197,76.3167,81.8555,84.7615,89.0741,94.2243
9,0.0653,0.0042,0.0567,0.0624,0.0655,0.0682,0.0716,82.9028,5.3310,71.9290,79.2049,83.1697,86.5688,90.8015
10,0.0623,0.0033,0.0565,0.0601,0.0628,0.0640,0.0670,79.0047,4.1375,71.7508,76.2264,79.7128,81.2669,84.9937
11,0.0596,0.0033,0.0548,0.0573,0.0595,0.0614,0.0646,75.5985,4.1619,69.5457,72.7254,75.4531,77.9357,82.0298
12,0.0568,0.0030,0.0518,0.0547,0.0568,0.0592,0.0607,72.0314,3.8458,65.7711,69.4026,72.0568,75.1522,76.9807
13,0.0541,0.0035,0.0475,0.0523,0.0545,0.0561,0.0593,68.7067,4.4469,60.2546,66.4093,69.1493,71.1333,75.2194
14,0.0516,0.0031,0.0469,0.0494,0.0515,0.0536,0.0566,65.5023,3.9879,59.4838,62.6598,65.3558,68.0336,71.7768
15,0.0492,0.0036,0.0437,0.0468,0.0491,0.0512,0.0552,62.4578,4.5740,55.4239,59.3327,62.3402,65.0073,70.1012
16,0.0451,0.0030,0.0407,0.0431,0.0448,0.0466,0.0505,57.2368,3.8478,51.5876,54.7074,56.8636,59.1494,64.1090
17,0.0412,0.0030,0.0367,0.0395,0.0408,0.0428,0.0464,52.3445,3.8102,46.5813,50.1647,51.8221,54.3472,58.9424
18,0.0356,0.0030,0.0310,0.0336,0.0355,0.0371,0.0414,45.1676,3.8633,39.3048,42.5922,45.0566,47.1425,52.4802
19,0.0299,0.0029,0.0258,0.0282,0.0293,0.0318,0.0348,37.9533,3.7303,32.6945,35.7522,37.2315,40.3390,44.1675
20,0.0231,0.0022,0.0199,0.0218,0.0231,0.0244,0.0270,29.3442,2.7289,25.3012,27.6218,29.2630,31.0062,34.2550
21,0.0166,0.0020,0.0130,0.0155,0.0168,0.0181,0.0196,21.0251,2.5766,16.4874,19.6382,21.2769,22.9479,24.8157
22,0.0119,0.0016,0.0089,0.0109,0.0117,0.0132,0.0142,15.0391,2.0905,11.2634,13.8578,14.8892,16.7170,18.0322
23,0.0093,0.0014,0.0071,0.0085,0.0093,0.0100,0.0115,11.7406,1.7669,9.0408,10.8191,11.8406,12.6827,14.6469
